PartNo,Status,ClassAndTier,Department,BargainingUnit,Classification,Gender,BenefitService,EligibilityService,DateOfBirth,Salary,EEContribBal,EEContribRate,PartTimePercentage,SecondGender,SecondDateOfBirth,AnnOpt,SSAOpt,YrsCertain,DropPct,CAPopupPct,AnnPmtPct,SSAAmount,SSADropYear,OriginalBenefit,CurrentBenefit,SimpleDBOpt,StatusDate,Weight
1,Active,Misc.Tier1.Classic.2@55,,VCEA.2,Misc,M,6.66,7.59,02/24/1966,88622.16,0,0,1,,,,,,,,,,,,,,,1
2,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,F,7.12,7.15,03/06/1964,59382.48,0,0,1,,,,,,,,,,,,,,,1
3,Active,Misc.Tier1.Classic.2@55,,VCEA.2,Misc,F,7.16,7.2,06/18/1974,52389.36,0,0,1,,,,,,,,,,,,,,,1
4,Active,Misc.Tier1.Classic.2@55,,VPOA.1,Misc,F,12.04,12.05,05/12/1971,76124.04,0,0,1,,,,,,,,,,,,,,,1
5,Active,Misc.Tier1.Classic.2@55,,VMO.1,Misc,F,10.21,13,08/09/1979,89408.4,0,0,1,,,,,,,,,,,,,,,1
6,Active,Misc.Tier1.PEPRA,,VCEA.2,Misc,M,4.16,4.191,02/02/1966,86962.08,0,0,1,,,,,,,,,,,,,,,1
7,Active,Fire.Classic.30@50,,VFA.2,Fire,M,17.33,17.4,03/08/1972,104526.12,0,0,1,,,,,,,,,,,,,,,1
8,Active,Misc.Tier1.PEPRA,,VCEA.2,Misc,F,1.94,2,09/25/1966,51096.96,0,0,1,,,,,,,,,,,,,,,1
9,Active,Police.Classic.30@50,,VPMA.1,Police,M,16.58,18.573,08/15/1976,156899.04,0,0,1,,,,,,,,,,,,,,,1
10,Active,Misc.Tier1.PEPRA,,VMO.2,Misc,M,0.58,0.6,05/15/1985,103738.68,0,0,1,,,,,,,,,,,,,,,1
11,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,M,15.21,15.25,11/23/1970,62550.36,0,0,1,,,,,,,,,,,,,,,1
12,Active,Misc.Tier1.PEPRA,,EL39.3,Misc,M,0.33,3.905,06/15/1982,80823.96,0,0,1,,,,,,,,,,,,,,,1
13,Active,Police.PEPRA.2@57,,VPOA.2,Police,M,0.12,0.05,06/21/1985,81451.32,0,0,1,,,,,,,,,,,,,,,1
14,Active,Police.Classic.30@50,,VPOA.1,Police,F,9.99,10,12/02/1981,98946.12,0,0,1,,,,,,,,,,,,,,,1
15,Active,Misc.Tier1.Classic.2@55,,VMO.2,Misc,F,4.51,6.806,06/12/1983,91057.32,0,0,1,,,,,,,,,,,,,,,1
16,Active,Misc.Tier1.Classic.2@55,,VCEA.1,Misc,F,25.61,25.739,12/06/1956,65312.64,0,0,1,,,,,,,,,,,,,,,1
17,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,M,17.2,17.25,03/13/1958,60192.6,0,0,1,,,,,,,,,,,,,,,1
18,Active,Misc.Tier1.Classic.2@55,,VMO.1,Misc,F,19.49,19.596,04/11/1968,133032,0,0,1,,,,,,,,,,,,,,,1
19,Active,Misc.Tier1.Classic.2@55,,AMG.1,Misc,F,12.1,11.638,08/22/1978,129461.88,0,0,1,,,,,,,,,,,,,,,1
20,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,M,10.12,11.667,11/04/1970,80823.96,0,0,1,,,,,,,,,,,,,,,1
21,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,M,4.99,5,07/16/1974,86880.36,0,0,1,,,,,,,,,,,,,,,1
22,Active,Misc.Tier1.PEPRA,,EL39.3,Misc,M,2.75,2.824,11/06/1961,76975.68,0,0,1,,,,,,,,,,,,,,,1
23,Active,Misc.Tier1.Classic.2@55,,VMO.2,Misc,M,16.12,35.111,02/14/1955,133032,0,0,1,,,,,,,,,,,,,,,1
24,Active,Misc.Tier1.Classic.2@55,,VCEA.1,Misc,M,12.29,12.35,08/04/1957,92800.32,0,0,1,,,,,,,,,,,,,,,1
25,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,M,10.37,10.449,05/21/1961,68009.28,0,0,1,,,,,,,,,,,,,,,1
26,Active,Fire.PEPRA.2@57,,VFA.2,Fire,M,1.79,1.947,10/30/1987,85993.2,0,0,1,,,,,,,,,,,,,,,1
27,Active,Misc.Tier1.Classic.2@55,,VMO.1,Misc,F,18.41,24.4,07/24/1962,104799.12,0,0,1,,,,,,,,,,,,,,,1
28,Active,Fire.Classic.30@50,,VFA.1,Fire,M,15.91,16.423,07/06/1978,125251.92,0,0,1,,,,,,,,,,,,,,,1
29,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,M,5.51,8.754,09/27/1974,86880.36,0,0,1,,,,,,,,,,,,,,,1
30,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,M,22.08,22.074,07/18/1958,74899.32,0,0,1,,,,,,,,,,,,,,,1
31,Active,Misc.Tier1.Classic.2@55,,VCEA.2,Misc,M,5.66,7,07/15/1986,75212.04,0,0,1,,,,,,,,,,,,,,,1
32,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,M,10.41,10.499,03/01/1977,64770.84,0,0,1,,,,,,,,,,,,,,,1
33,Active,Misc.Tier1.Classic.2@55,,AMG.1,Misc,F,12.41,12.5,05/16/1961,70117.56,0,0,1,,,,,,,,,,,,,,,1
34,Active,Misc.Tier1.PEPRA,,DH.2,Misc,M,3.21,3.178,05/08/1965,188026.08,0,0,1,,,,,,,,,,,,,,,1
35,Active,Fire.Classic.30@50,,VFA.2,Fire,M,16.62,17.976,12/29/1976,99548.4,0,0,1,,,,,,,,,,,,,,,1
36,Active,Fire.Classic.30@50,,VFA.2,Fire,M,17.29,19.493,04/27/1972,104526.12,0,0,1,,,,,,,,,,,,,,,1
37,Active,Misc.Tier1.PEPRA,,VCEA.2,Misc,F,2,2,11/05/1991,45250.92,0,0,1,,,,,,,,,,,,,,,1
38,Active,Police.PEPRA.2@57,,VPOA.2,Police,M,0.33,0.3,07/30/1988,85511.52,0,0,1,,,,,,,,,,,,,,,1
39,Active,Fire.Classic.30@50,,VFA.2,Fire,M,18.58,22.498,01/14/1970,125251.92,0,0,1,,,,,,,,,,,,,,,1
40,Active,Misc.Tier1.Classic.2@55,,VCEA.1,Misc,M,18.21,19.971,01/21/1974,63335.52,0,0,1,,,,,,,,,,,,,,,1
41,Active,Police.Classic.2@50,,VPOA.2,Police,M,0.33,9,12/05/1981,89772.84,0,0,1,,,,,,,,,,,,,,,1
42,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,M,9.79,12.462,02/26/1981,66362.04,0,0,1,,,,,,,,,,,,,,,1
43,Active,Misc.Tier1.PEPRA,,VCEA.2,Misc,F,0.87,1.79,11/12/1981,49782.6,0,0,1,,,,,,,,,,,,,,,1
44,Active,Misc.Tier1.PEPRA,,VMO.2,Misc,M,3.25,3.3,12/31/1987,94304.28,0,0,1,,,,,,,,,,,,,,,1
45,Active,Fire.Classic.30@50,,VFA.2,Fire,M,16.62,16.75,07/15/1975,111992.16,0,0,1,,,,,,,,,,,,,,,1
46,Active,Misc.Tier1.Classic.2@55,,VCEA.1,Misc,F,21.71,21.85,07/17/1967,65312.64,0,0,1,,,,,,,,,,,,,,,1
47,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,M,3.37,12.471,07/27/1970,80823.96,0,0,1,,,,,,,,,,,,,,,1
48,Active,Misc.Tier1.Classic.2@55,,VCEA.1,Misc,F,9.48,9.764,05/31/1982,50727.24,0,0,1,,,,,,,,,,,,,,,1
49,Active,Misc.Tier1.Classic.2@55,,VMO.1,Misc,M,22,22.583,06/02/1968,129468.24,0,0,1,,,,,,,,,,,,,,,1
50,Active,Police.Classic.30@50,,CC.1,Not Eligible,M,6.54,0,04/22/1967,9948,0,0,1,,,,,,,,,,,,,,,0
51,Active,Misc.Tier1.Classic.2@55,,VCEA.2,Misc,F,21.46,21.46,09/09/1963,70510.8,0,0,1,,,,,,,,,,,,,,,1
52,Active,Fire.Classic.30@50,,VFA.1,Fire,M,10.46,10.55,10/16/1978,111992.16,0,0,1,,,,,,,,,,,,,,,1
53,Active,Misc.Tier1.PEPRA,,VMO.2,Misc,F,0.04,0,08/12/1986,76568.76,0,0,1,,,,,,,,,,,,,,,1
54,Active,Misc.Tier1.Classic.2@55,,VMO.1,Misc,M,14.98,26.3,09/04/1965,133032,0,0,1,,,,,,,,,,,,,,,1
55,Active,Fire.Classic.30@50,,VFA.1,Fire,M,10.46,10.55,06/19/1976,111992.16,0,0,1,,,,,,,,,,,,,,,1
56,Active,Misc.Tier1.Classic.2@55,,VCEA.2,Misc,F,3.46,12.05,02/08/1978,67366.44,0,0,1,,,,,,,,,,,,,,,1
57,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,M,17.85,18,05/27/1959,80823.96,0,0,1,,,,,,,,,,,,,,,1
58,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,M,26.21,26.25,03/23/1949,82749.36,0,0,1,,,,,,,,,,,,,,,1
