AttainedAge,Value
15,3731.258994
16,3731.258994
17,3731.258994
18,3731.258994
19,3731.258994
20,4595.486231
21,4595.486231
22,4595.486231
23,4595.486231
24,4595.486231
25,6496.404278
26,6496.404278
27,6496.404278
28,6496.404278
29,6496.404278
30,9460.534609
31,9460.534609
32,9460.534609
33,9460.534609
34,9460.534609
35,9860.665747
36,9860.665747
37,9860.665747
38,9860.665747
39,9860.665747
40,11351.52002
41,11351.52002
42,11351.52002
43,11351.52002
44,11351.52002
45,11769.5674
46,11769.5674
47,11769.5674
48,11769.5674
49,11769.5674
50,12436.30728
51,12436.30728
52,12436.30728
53,12436.30728
54,12436.30728
55,12990.00745
56,12990.00745
57,12990.00745
58,12990.00745
59,12990.00745
60,13516.18718
61,13516.18718
62,13516.18718
63,13516.18718
64,13516.18718
65,3955.68
