AttainedAge,Value
15,3018.946316
16,3018.946316
17,3018.946316
18,3018.946316
19,3018.946316
20,2881.361553
21,2881.361553
22,2881.361553
23,2881.361553
24,2881.361553
25,3446.03639
26,3446.03639
27,3446.03639
28,3446.03639
29,3446.03639
30,8294.81757
31,8294.81757
32,8294.81757
33,8294.81757
34,8294.81757
35,8915.069214
36,8915.069214
37,8915.069214
38,8915.069214
39,8915.069214
40,10766.4648
41,10766.4648
42,10766.4648
43,10766.4648
44,10766.4648
45,12789.76278
46,12789.76278
47,12789.76278
48,12789.76278
49,12789.76278
50,12801.45234
51,12801.45234
52,12801.45234
53,12801.45234
54,12801.45234
55,15666.59388
56,15666.59388
57,15666.59388
58,15666.59388
59,15666.59388
60,17508.45593
61,17508.45593
62,17508.45593
63,17508.45593
64,17508.45593
65,3955.68
