AttainedAge,Value
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0.0001
16,0.0001
17,0.0001
18,0.0001
19,0.0001
20,0.0001
21,0.0001
22,0.0001
23,0.0001
24,0.0001
25,0.0001
26,0.0001
27,0.0001
28,0.0001
29,0.0001
30,0.0001
31,0.0001
32,0.0001
33,0.0001
34,0.0001
35,0.0001
36,0.0001
37,0.0001
38,0.0001
39,0.0001
40,0.0001
41,0.0001
42,0.0001
43,0.0001
44,0.0002
45,0.0002
46,0.0003
47,0.0003
48,0.0004
49,0.0004
50,0.0005
51,0.0006
52,0.0007
53,0.0007
54,0.0007
55,0.0007
56,0.0007
57,0.0007
58,0.0007
59,0.0007
60,0.0007
61,0.0007
62,0.0007
63,0.0007
64,0.0007
65,0.0007
66,0.0007
67,0.0007
68,0.0007
69,0.0007
70,0.0007
71,0.0007
72,0.0007
73,0.0007
74,0.0007
75,0.0007
76,0.0007
77,0.0007
78,0.0007
79,0.0007
80,0.0007
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
