AttainedAge,Value
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0.00002
16,0.00002
17,0.00002
18,0.00003
19,0.00005
20,0.00005
21,0.00007
22,0.00009
23,0.00011
24,0.00014
25,0.00019
26,0.00025
27,0.00032
28,0.00038
29,0.00047
30,0.00056
31,0.00065
32,0.00077
33,0.00089
34,0.00103
35,0.00119
36,0.00136
37,0.00155
38,0.00176
39,0.00199
40,0.00225
41,0.00254
42,0.00284
43,0.00319
44,0.00356
45,0.00398
46,0.00443
47,0.00491
48,0.00545
49,0.00603
50,0.02079
51,0.02254
52,0.02439
53,0.02636
54,0.02845
55,0.03066
56,0.033
57,0.03548
58,0.03809
59,0.04085
60,0.04375
61,0.04681
62,0.05003
63,0.05341
64,0.05696
65,0.06069
66,0.06461
67,0.06871
68,0.07301
69,0.07751
70,0.08221
71,0.08714
72,0.09227
73,0.09764
74,0.10325
75,0.1091
76,0.11519
77,0.12154
78,0.12815
79,0.13503
80,0.14219
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
