AttainedAge,Value
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0.0001
16,0.0001
17,0.0001
18,0.0001
19,0.0001
20,0.0001
21,0.0001
22,0.0001
23,0.0001
24,0.0001
25,0.0001
26,0.0001
27,0.0001
28,0.0001
29,0.00016
30,0.00024
31,0.00033
32,0.00043
33,0.00055
34,0.00068
35,0.00071
36,0.00081
37,0.00095
38,0.00105
39,0.0012
40,0.00135
41,0.00145
42,0.00154
43,0.00167
44,0.00178
45,0.00188
46,0.00196
47,0.00202
48,0.00204
49,0.00203
50,0.00199
51,0.00193
52,0.00183
53,0.00173
54,0.00161
55,0.00149
56,0.00138
57,0.00128
58,0.00119
59,0.00111
60,0.00105
61,0.001
62,0.00096
63,0.00093
64,0.0009
65,0.00088
66,0.00087
67,0.00086
68,0.00085
69,0.00084
70,0.00084
71,0.00084
72,0.00085
73,0.00086
74,0.00087
75,0.00088
76,0.00088
77,0.00088
78,0.00088
79,0.00088
80,0.00088
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
