AttainedAge,Value
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0.00017
16,0.00017
17,0.00017
18,0.00017
19,0.00017
20,0.00017
21,0.00017
22,0.00017
23,0.00017
24,0.00017
25,0.00017
26,0.00017
27,0.00017
28,0.00017
29,0.00017
30,0.00019
31,0.00021
32,0.00026
33,0.00032
34,0.00039
35,0.00039
36,0.0004
37,0.00054
38,0.00069
39,0.00085
40,0.00102
41,0.0011
42,0.00127
43,0.00141
44,0.00147
45,0.00151
46,0.00158
47,0.00158
48,0.00158
49,0.00158
50,0.00158
51,0.00158
52,0.00158
53,0.00158
54,0.00158
55,0.00158
56,0.00158
57,0.00158
58,0.00158
59,0.00158
60,0.00153
61,0.00148
62,0.00143
63,0.00138
64,0.00133
65,0.00128
66,0.00123
67,0.00118
68,0.00113
69,0.00108
70,0.00102
71,0.00102
72,0.00102
73,0.00102
74,0.00102
75,0.00102
76,0.00102
77,0.00102
78,0.00102
79,0.00102
80,0.00102
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
