AttainedAge,Value
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0.0001
16,0.0001
17,0.0001
18,0.0001
19,0.0001
20,0.0001
21,0.0001
22,0.0001
23,0.0001
24,0.0001
25,0.0001
26,0.0001
27,0.0001
28,0.0001
29,0.0001
30,0.0002
31,0.0002
32,0.0002
33,0.0002
34,0.0003
35,0.0003
36,0.0003
37,0.0003
38,0.0003
39,0.0004
40,0.0004
41,0.0004
42,0.0004
43,0.0005
44,0.0005
45,0.0005
46,0.0006
47,0.0006
48,0.0007
49,0.0008
50,0.0008
51,0.0009
52,0.001
53,0.0011
54,0.0012
55,0.0013
56,0.0015
57,0.0016
58,0.0018
59,0.002
60,0.002
61,0.002
62,0.002
63,0.002
64,0.002
65,0.002
66,0.002
67,0.002
68,0.002
69,0.002
70,0.002
71,0.002
72,0.002
73,0.002
74,0.002
75,0.002
76,0.002
77,0.002
78,0.002
79,0.002
80,0.002
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
