AttainedAge,Value
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0.00002
16,0.00002
17,0.00002
18,0.00002
19,0.00002
20,0.00002
21,0.00002
22,0.00002
23,0.0004
24,0.00102
25,0.00165
26,0.00227
27,0.00289
28,0.00352
29,0.00414
30,0.00476
31,0.00539
32,0.00601
33,0.00664
34,0.00726
35,0.00788
36,0.00851
37,0.00913
38,0.00975
39,0.01038
40,0.011
41,0.01163
42,0.01225
43,0.01287
44,0.0135
45,0.01412
46,0.01475
47,0.01537
48,0.01599
49,0.01662
50,0.01846
51,0.03803
52,0.04048
53,0.04293
54,0.04539
55,0.04785
56,0.05032
57,0.05279
58,0.05527
59,0.05775
60,0.06024
61,0.06273
62,0.06523
63,0.06774
64,0.07025
65,0.07277
66,0.0753
67,0.07783
68,0.08038
69,0.08293
70,0.08549
71,0.08805
72,0.09063
73,0.09321
74,0.09581
75,0.09842
76,0.10103
77,0.10366
78,0.1063
79,0.10895
80,0.11161
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
