AttainedAge,Value
1,0.00003
2,0.00003
3,0.00003
4,0.00003
5,0.00003
6,0.00003
7,0.00003
8,0.00003
9,0.00003
10,0.00003
11,0.00003
12,0.00003
13,0.00003
14,0.00003
15,0.00003
16,0.00003
17,0.00003
18,0.00003
19,0.00004
20,0.00004
21,0.00004
22,0.00005
23,0.00005
24,0.00005
25,0.00006
26,0.00006
27,0.00006
28,0.00006
29,0.00007
30,0.00007
31,0.00007
32,0.00008
33,0.00008
34,0.00008
35,0.00009
36,0.00009
37,0.00009
38,0.00009
39,0.0001
40,0.0001
41,0.0001
42,0.00011
43,0.00011
44,0.00011
45,0.00012
46,0.00012
47,0.00012
48,0.00012
49,0.00013
50,0.003458
51,0.00364
52,0.003793
53,0.003917
54,0.004016
55,0.004097
56,0.004175
57,0.004268
58,0.004391
59,0.004555
60,0.004763
61,0.006027
62,0.00639
63,0.006786
64,0.007203
65,0.007647
66,0.008135
67,0.008701
68,0.009376
69,0.010177
70,0.011115
71,0.012229
72,0.013568
73,0.015221
74,0.017233
75,0.019617
76,0.022327
77,0.025318
78,0.028587
79,0.03216
80,0.036086
81,0.04048
82,0.045452
83,0.051095
84,0.057575
85,0.065014
86,0.072363
87,0.080632
88,0.089831
89,0.099968
90,0.110981
91,0.122837
92,0.135532
93,0.148842
94,0.162744
95,0.176976
96,0.196061
97,0.216147
98,0.237119
99,0.25893
100,0.281511
101,0.304847
102,0.32891
103,0.353653
104,0.379132
105,0.434914
106,0.504001
107,0.583332
108,0.673092
109,0.773423
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
