AttainedAge,Value
1,0.00003
2,0.00003
3,0.00003
4,0.00003
5,0.00003
6,0.00003
7,0.00003
8,0.00003
9,0.00003
10,0.00003
11,0.00003
12,0.00003
13,0.00003
14,0.00003
15,0.00003
16,0.00003
17,0.00003
18,0.00003
19,0.00004
20,0.00004
21,0.00004
22,0.00005
23,0.00005
24,0.00005
25,0.00006
26,0.00006
27,0.00006
28,0.00006
29,0.00007
30,0.00007
31,0.00007
32,0.00008
33,0.00008
34,0.00008
35,0.00009
36,0.00009
37,0.00009
38,0.00009
39,0.0001
40,0.0001
41,0.0001
42,0.00011
43,0.00011
44,0.00011
45,0.00012
46,0.00012
47,0.00012
48,0.00012
49,0.00013
50,0.003716
51,0.003903
52,0.004058
53,0.004183
54,0.004283
55,0.004369
56,0.004465
57,0.004982
58,0.005544
59,0.00613
60,0.006712
61,0.008732
62,0.009381
63,0.009993
64,0.010575
65,0.01113
66,0.011727
67,0.012441
68,0.013362
69,0.014559
70,0.016067
71,0.017872
72,0.019948
73,0.022302
74,0.024913
75,0.027794
76,0.030966
77,0.034443
78,0.03835
79,0.042733
80,0.047729
81,0.053424
82,0.059929
83,0.067317
84,0.075784
85,0.085465
86,0.095004
87,0.105649
88,0.117314
89,0.129964
90,0.143482
91,0.157638
92,0.172283
93,0.187118
94,0.201977
95,0.216577
96,0.23685
97,0.257569
98,0.278797
99,0.300324
100,0.322218
101,0.344239
102,0.366536
103,0.389001
104,0.411812
105,0.466914
106,0.53627
107,0.615214
108,0.703565
109,0.80139
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
