AttainedAge,Value
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0.00003
16,0.00003
17,0.00003
18,0.00003
19,0.00004
20,0.00004
21,0.00004
22,0.00005
23,0.00005
24,0.00005
25,0.00006
26,0.00006
27,0.00006
28,0.00006
29,0.00007
30,0.00007
31,0.00007
32,0.00008
33,0.00008
34,0.00008
35,0.00009
36,0.00009
37,0.00009
38,0.00009
39,0.0001
40,0.0001
41,0.0001
42,0.00011
43,0.00011
44,0.00011
45,0.00012
46,0.00012
47,0.00012
48,0.00012
49,0.00013
50,0.00013
51,0.00013
52,0.00014
53,0.00014
54,0.00014
55,0.00015
56,0.00015
57,0.00015
58,0.00015
59,0.00016
60,0.00016
61,0.00016
62,0.00017
63,0.00017
64,0.00017
65,0.00018
66,0.00018
67,0.00018
68,0.00018
69,0.00019
70,0.00019
71,0.00019
72,0.0002
73,0.0002
74,0.0002
75,0.00021
76,0.00021
77,0.00021
78,0.00021
79,0.00022
80,0.00022
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
