AttainedAge,Value
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0.000155
16,0.000167
17,0.000179
18,0.000192
19,0.000204
20,0.000216
21,0.00023
22,0.000243
23,0.000258
24,0.000273
25,0.000289
26,0.000306
27,0.000323
28,0.000341
29,0.00036
30,0.000379
31,0.000399
32,0.000418
33,0.000438
34,0.000464
35,0.000491
36,0.000519
37,0.000549
38,0.000579
39,0.000608
40,0.000637
41,0.000667
42,0.000696
43,0.000722
44,0.000753
45,0.000795
46,0.000852
47,0.000918
48,0.000992
49,0.001074
50,0.001161
51,0.001256
52,0.001355
53,0.001462
54,0.001584
55,0.001717
56,0.001866
57,0.002032
58,0.002213
59,0.00239
60,0.00255
61,0.002708
62,0.002869
63,0.003063
64,0.003312
65,0.003626
66,0.004015
67,0.004477
68,0.005
69,0.00558
70,0.006227
71,0.006947
72,0.007742
73,0.008618
74,0.009562
75,0.010572
76,0.011654
77,0.012793
78,0.014007
79,0.015272
80,0.016593
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
