AttainedAge,Value
1,0.000155
2,0.000155
3,0.000155
4,0.000155
5,0.000155
6,0.000155
7,0.000155
8,0.000155
9,0.000155
10,0.000155
11,0.000155
12,0.000155
13,0.000155
14,0.000155
15,0.000155
16,0.000167
17,0.000179
18,0.000192
19,0.000204
20,0.000216
21,0.00023
22,0.000243
23,0.000258
24,0.000273
25,0.000289
26,0.000306
27,0.000323
28,0.000341
29,0.00036
30,0.000379
31,0.000399
32,0.000418
33,0.000438
34,0.000464
35,0.000491
36,0.000519
37,0.000549
38,0.000579
39,0.000608
40,0.000637
41,0.000667
42,0.000696
43,0.000722
44,0.000753
45,0.000795
46,0.000852
47,0.000918
48,0.000992
49,0.001074
50,0.011831
51,0.012558
52,0.013346
53,0.014206
54,0.015136
55,0.016132
56,0.017187
57,0.018279
58,0.019396
59,0.020532
60,0.021658
61,0.022788
62,0.023913
63,0.025033
64,0.026176
65,0.02733
66,0.028525
67,0.02974
68,0.030974
69,0.032239
70,0.033583
71,0.035014
72,0.036563
73,0.038334
74,0.040371
75,0.042774
76,0.045645
77,0.049006
78,0.052982
79,0.057531
80,0.062721
81,0.068553
82,0.075031
83,0.082078
84,0.089727
85,0.097926
86,0.10675
87,0.116082
88,0.125781
89,0.135822
90,0.146163
91,0.156708
92,0.16748
93,0.179921
94,0.198017
95,0.216577
96,0.23685
97,0.257569
98,0.278797
99,0.300324
100,0.322218
101,0.344239
102,0.366536
103,0.389001
104,0.411812
105,0.466914
106,0.53627
107,0.615214
108,0.703565
109,0.80139
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
