AttainedAge,Value
1,0.000034
2,0.000034
3,0.000034
4,0.000034
5,0.000034
6,0.000034
7,0.000034
8,0.000034
9,0.000034
10,0.000034
11,0.000034
12,0.000034
13,0.000034
14,0.000034
15,0.000034
16,0.000041
17,0.000048
18,0.000055
19,0.000062
20,0.000069
21,0.000077
22,0.000085
23,0.000093
24,0.000101
25,0.000109
26,0.000118
27,0.000127
28,0.000136
29,0.000145
30,0.000155
31,0.000171
32,0.000194
33,0.00022
34,0.000246
35,0.00027
36,0.000291
37,0.00031
38,0.000329
39,0.000345
40,0.000366
41,0.000391
42,0.000417
43,0.000448
44,0.000492
45,0.000543
46,0.000599
47,0.000659
48,0.000718
49,0.000756
50,0.003458
51,0.00364
52,0.003793
53,0.003917
54,0.004016
55,0.004097
56,0.004175
57,0.004268
58,0.004391
59,0.004555
60,0.004763
61,0.005022
62,0.005325
63,0.005655
64,0.006003
65,0.006372
66,0.006779
67,0.007251
68,0.007814
69,0.008481
70,0.009262
71,0.01019
72,0.011307
73,0.012684
74,0.014361
75,0.016348
76,0.018606
77,0.021099
78,0.023822
79,0.0268
80,0.030072
81,0.033733
82,0.037877
83,0.042579
84,0.047979
85,0.054179
86,0.061324
87,0.069511
88,0.078799
89,0.089257
90,0.100892
91,0.113738
92,0.12786
93,0.143117
94,0.159553
95,0.176976
96,0.196061
97,0.216147
98,0.237119
99,0.25893
100,0.281511
101,0.304847
102,0.32891
103,0.353653
104,0.379132
105,0.434914
106,0.504001
107,0.583332
108,0.673092
109,0.773423
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
